JPN,USA,EUR,CHN,KOR,TWN,NEW3DS,NAME
00020000,00021000,00022000,00026000,00027000,00028000,0,System Settings
00020100,00021100,00022100,00026100,00027100,00028100,0,Download Play
00020200,00021200,00022200,00026200,00027200,00028200,0,Activity Log
00020300,00021300,00022300,00026300,00027300,00028300,0,Health and Safety Information
20020300,20021300,20022300,FFFFFFFF,20027300,FFFFFFFF,1,Health and Safety Information
00020400,00021400,00022400,00026400,00027400,00028400,0,Nintendo 3DS Camera
00020500,00021500,00022500,00026500,00027500,00028500,0,Nintendo 3DS Sound
00020700,00021700,00022700,00026700,00027700,00028700,0,Mii Maker
00020800,00021800,00022800,00026800,00027800,00028800,0,StreetPass Mii Plaza
00020900,00021900,00022900,FFFFFFFF,00027900,00028900,0,eShop
00020A00,00021A00,00022A00,FFFFFFFF,00027A00,00028A00,0,System Transfer
00020B00,00021B00,00022B00,FFFFFFFF,FFFFFFFF,FFFFFFFF,0,Nintendo Zone
00020D00,00021D00,00022D00,00026D00,00027D00,00028D00,0,Face Raiders
20020D00,20021D00,20022D00,FFFFFFFF,20027D00,FFFFFFFF,1,Face Raiders
00020E00,00021E00,00022E00,00026E00,00027E00,00028E00,0,AR Games
00020F00,00021F00,00022F00,00026F00,00027F00,00028F00,0,SAFE_MODE System Updater
00023000,00024000,00025000,FFFFFFFF,FFFFFFFF,FFFFFFFF,0,Promotional video
0002BF00,0002C000,0002C100,FFFFFFFF,FFFFFFFF,FFFFFFFF,0,Nintendo Network ID Settings
20023100,20024100,20025100,FFFFFFFF,FFFFFFFF,FFFFFFFF,1,microSD Management
2002C800,2002CF00,2002D000,FFFFFFFF,2002D700,FFFFFFFF,1,HOME menu digital manual
2002C900,2002D100,2002D200,FFFFFFFF,2002D800,FFFFFFFF,1,Friends list digital manual
2002CA00,2002D300,2002D400,FFFFFFFF,2002D900,FFFFFFFF,1,Notifications digital manual
2002CB00,2002D500,2002D600,FFFFFFFF,2002DA00,FFFFFFFF,1,Game Notes digital manual
